Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Price
115,Algeria,Potatoes,1993,111215,89,1021.89,17.0,333645
116,Algeria,"Rice, paddy",1993,23111,89,1021.89,17.0,138666
117,Algeria,Sorghum,1993,50000,89,1021.89,17.0,200000
118,Algeria,Wheat,1993,8097,89,1021.89,17.0,56679
119,Algeria,Maize,1994,4512,89,1255.02,17.88,22560
120,Algeria,Potatoes,1994,95078,89,1255.02,17.88,285234
121,Algeria,"Rice, paddy",1994,21374,89,1255.02,17.88,128244
122,Algeria,Wheat,1994,7999,89,1255.02,17.88,55993
123,Algeria,Maize,1995,16115,89,2697.09,17.36,80575
124,Algeria,Potatoes,1995,136768,89,2697.09,17.36,410304
125,Algeria,"Rice, paddy",1995,19598,89,2697.09,17.36,117588
126,Algeria,Sorghum,1995,12667,89,2697.09,17.36,50668
127,Algeria,Wheat,1995,8924,89,2697.09,17.36,62468
128,Algeria,Maize,1996,17154,89,479.77,16.76,85770
129,Algeria,Potatoes,1996,134629,89,479.77,16.76,403887
130,Algeria,"Rice, paddy",1996,17861,89,479.77,16.76,107166
131,Algeria,Sorghum,1996,14750,89,479.77,16.76,59000
132,Algeria,Wheat,1996,13090,89,479.77,16.76,91630
133,Algeria,Maize,1997,21417,89,401.22,17.84,107085
134,Algeria,Potatoes,1997,141042,89,401.22,17.84,423126
135,Algeria,"Rice, paddy",1997,15000,89,401.22,17.84,90000
136,Algeria,Sorghum,1997,40000,89,401.22,17.84,160000
137,Algeria,Wheat,1997,8016,89,401.22,17.84,56112
138,Algeria,Maize,1998,17222,89,322.84,17.14,86110
139,Algeria,Potatoes,1998,160256,89,322.84,17.14,480768
140,Algeria,"Rice, paddy",1998,15000,89,322.84,17.14,90000
141,Algeria,Sorghum,1998,24500,89,322.84,17.14,98000
142,Algeria,Wheat,1998,8847,89,322.84,17.14,61929
143,Algeria,Maize,1999,22375,89,654.45,17.97,111875
144,Algeria,Potatoes,1999,153532,89,654.45,17.97,460596
145,Algeria,"Rice, paddy",1999,13942,89,654.45,17.97,83652
146,Algeria,Sorghum,1999,27000,89,654.45,17.97,108000
147,Algeria,Wheat,1999,10711,89,654.45,17.97,74977
148,Algeria,Maize,2000,36186,89,603.67,17.9,180930
149,Algeria,Potatoes,2000,166143,89,603.67,17.9,498429
150,Algeria,"Rice, paddy",2000,13052,89,603.67,17.9,78312
151,Algeria,Sorghum,2000,69500,89,603.67,17.9,278000
152,Algeria,Wheat,2000,9194,89,603.67,17.9,64358
153,Algeria,Maize,2001,27175,89,710.11,18.13,135875
154,Algeria,Potatoes,2001,147018,89,710.11,18.13,441054
155,Algeria,"Rice, paddy",2001,12314,89,710.11,18.13,73884
156,Algeria,Sorghum,2001,27750,89,710.11,18.13,111000
157,Algeria,Wheat,2001,11104,89,710.11,18.13,77728
158,Algeria,Maize,2002,33480,89,816.55,17.85,167400
159,Algeria,Potatoes,2002,183774,89,816.55,17.85,551322
160,Algeria,"Rice, paddy",2002,12959,89,816.55,17.85,77754
161,Algeria,Sorghum,2002,33900,89,816.55,17.85,135600
162,Algeria,Wheat,2002,10739,89,816.55,17.85,75173
163,Algeria,Maize,2004,31729,89,3747.86,17.38,158645
164,Algeria,Potatoes,2004,203585,89,3747.86,17.38,610755
165,Algeria,"Rice, paddy",2004,12829,89,3747.86,17.38,76974
166,Algeria,Sorghum,2004,43316,89,3747.86,17.38,173264
167,Algeria,Wheat,2004,13582,89,3747.86,17.38,95074
168,Algeria,Maize,2005,33864,89,3662.87,17.19,169320
169,Algeria,Potatoes,2005,216267,89,3662.87,17.19,648801
170,Algeria,"Rice, paddy",2005,12998,89,3662.87,17.19,77988
171,Algeria,Sorghum,2005,33486,89,3662.87,17.19,133944
172,Algeria,Wheat,2005,15057,89,3662.87,17.19,105399
173,Algeria,Maize,2006,65668,89,4110.72,18.13,328340
174,Algeria,Potatoes,2006,220689,89,4110.72,18.13,662067
175,Algeria,"Rice, paddy",2006,12769,89,4110.72,18.13,76614
176,Algeria,Sorghum,2006,56728,89,4110.72,18.13,226912
177,Algeria,Wheat,2006,15068,89,4110.72,18.13,105476
178,Algeria,Maize,2007,85625,89,5390.79,17.42,428125
179,Algeria,Potatoes,2007,189927,89,5390.79,17.42,569781
180,Algeria,"Rice, paddy",2007,13375,89,5390.79,17.42,80250
181,Algeria,Sorghum,2007,119059,89,5390.79,17.42,476236
182,Algeria,Wheat,2007,12742,89,5390.79,17.42,89194
183,Algeria,Maize,2008,44714,89,11556.12,17.55,223570
184,Algeria,Potatoes,2008,236393,89,11556.12,17.55,709179
185,Algeria,"Rice, paddy",2008,13952,89,11556.12,17.55,83712
186,Algeria,Sorghum,2008,61786,89,11556.12,17.55,247144
187,Algeria,Wheat,2008,11038,89,11556.12,17.55,77266
188,Algeria,Maize,2009,30914,89,3867.99,17.78,154570
189,Algeria,Potatoes,2009,250764,89,3867.99,17.78,752292
190,Algeria,"Rice, paddy",2009,14594,89,3867.99,17.78,87564
191,Algeria,Sorghum,2009,90465,89,3867.99,17.78,361860
192,Algeria,Wheat,2009,15975,89,3867.99,17.78,111825
193,Algeria,Maize,2010,25827,89,1295.88,17.59,129135
194,Algeria,Potatoes,2010,270526,89,1295.88,17.59,811578
195,Algeria,"Rice, paddy",2010,15305,89,1295.88,17.59,91830
196,Algeria,Sorghum,2010,30286,89,1295.88,17.59,121144
197,Algeria,Wheat,2010,14838,89,1295.88,17.59,103866
198,Algeria,Maize,2011,23374,89,13861.76,17.79,116870
199,Algeria,Potatoes,2011,292806,89,13861.76,17.79,878418
200,Algeria,"Rice, paddy",2011,16081,89,13861.76,17.79,96486
201,Algeria,Sorghum,2011,100000,89,13861.76,17.79,400000
202,Algeria,Wheat,2011,17405,89,13861.76,17.79,121835
203,Algeria,Maize,2012,25583,89,17379.76,17.91,127915
204,Algeria,Potatoes,2012,304291,89,17379.76,17.91,912873
205,Algeria,"Rice, paddy",2012,16667,89,17379.76,17.91,100002
206,Algeria,Sorghum,2012,206000,89,17379.76,17.91,824000
207,Algeria,Wheat,2012,17639,89,17379.76,17.91,123473
208,Algeria,Maize,2013,33649,89,17278.65,17.65,168245
209,Algeria,Potatoes,2013,303218,89,17278.65,17.65,909654
210,Algeria,"Rice, paddy",2013,17778,89,17278.65,17.65,106668
211,Algeria,Sorghum,2013,60000,89,17278.65,17.65,240000
212,Algeria,Wheat,2013,19100,89,17278.65,17.65,133700
213,Angola,Cassava,1990,41177,1010,64.0,24.12,0
214,Angola,Maize,1990,2736,1010,64.0,24.12,13680
215,Angola,Potatoes,1990,40000,1010,64.0,24.12,120000
216,Angola,"Rice, paddy",1990,9512,1010,64.0,24.12,57072
217,Angola,Sweet potatoes,1990,89342,1010,64.0,24.12,0
218,Angola,Wheat,1990,7995,1010,64.0,24.12,55965
219,Angola,Cassava,1991,40295,1010,79.0,24.02,0
220,Angola,Maize,1991,4013,1010,79.0,24.02,20065
221,Angola,Potatoes,1991,40000,1010,79.0,24.02,120000
222,Angola,"Rice, paddy",1991,10000,1010,79.0,24.02,60000
223,Angola,Sweet potatoes,1991,83001,1010,79.0,24.02,0
224,Angola,Wheat,1991,8000,1010,79.0,24.02,56000
225,Angola,Cassava,1992,42295,1010,23.0,23.96,0
226,Angola,Maize,1992,3778,1010,23.0,23.96,18890
227,Angola,Potatoes,1992,40000,1010,23.0,23.96,120000
228,Angola,"Rice, paddy",1992,9106,1010,23.0,23.96,54636
229,Angola,Sweet potatoes,1992,90000,1010,23.0,23.96,0
230,Angola,Wheat,1992,8000,1010,23.0,23.96,56000
231,Angola,Cassava,1993,42295,1010,169.0,24.15,0
232,Angola,Maize,1993,2627,1010,169.0,24.15,13135
233,Angola,Potatoes,1993,70000,1010,169.0,24.15,210000
234,Angola,"Rice, paddy",1993,8000,1010,169.0,24.15,48000
235,Angola,Sweet potatoes,1993,88095,1010,169.0,24.15,0
236,Angola,Wheat,1993,8876,1010,169.0,24.15,62132
237,Angola,Cassava,1994,58596,1010,25.5,24.04,0
238,Angola,Maize,1994,2463,1010,25.5,24.04,12315
239,Angola,Potatoes,1994,90000,1010,25.5,24.04,270000
240,Angola,"Rice, paddy",1994,8750,1010,25.5,24.04,52500
241,Angola,Sweet potatoes,1994,83192,1010,25.5,24.04,0
242,Angola,Wheat,1994,10000,1010,25.5,24.04,70000
243,Angola,Cassava,1995,51000,1010,336.0,24.56,0
244,Angola,Maize,1995,3517,1010,336.0,24.56,17585
245,Angola,Potatoes,1995,76738,1010,336.0,24.56,230214
246,Angola,"Rice, paddy",1995,14615,1010,336.0,24.56,87690
247,Angola,Sweet potatoes,1995,81138,1010,336.0,24.56,0
248,Angola,Wheat,1995,11855,1010,336.0,24.56,82985
249,Angola,Cassava,1996,48077,1010,40.0,24.11,0
250,Angola,Maize,1996,6993,1010,40.0,24.11,34965
251,Angola,Potatoes,1996,70000,1010,40.0,24.11,210000
252,Angola,"Rice, paddy",1996,17500,1010,40.0,24.11,105000
253,Angola,Sweet potatoes,1996,85455,1010,40.0,24.11,0
254,Angola,Wheat,1996,13738,1010,40.0,24.11,96166
255,Angola,Cassava,1997,44205,1010,40.0,24.06,0
256,Angola,Maize,1997,5959,1010,40.0,24.06,29795
257,Angola,Potatoes,1997,68571,1010,40.0,24.06,205713
258,Angola,"Rice, paddy",1997,20000,1010,40.0,24.06,120000
259,Angola,Sweet potatoes,1997,78098,1010,40.0,24.06,0
260,Angola,Wheat,1997,15509,1010,40.0,24.06,108563
261,Angola,Cassava,1998,55728,1010,40.0,24.96,0
262,Angola,Maize,1998,7396,1010,40.0,24.96,36980
263,Angola,Potatoes,1998,62724,1010,40.0,24.96,188172
264,Angola,"Rice, paddy",1998,20000,1010,40.0,24.96,120000
265,Angola,Sweet potatoes,1998,76256,1010,40.0,24.96,0
266,Angola,Wheat,1998,17143,1010,40.0,24.96,120001
267,Angola,Cassava,1999,59821,1010,40.0,24.37,0
268,Angola,Maize,1999,6361,1010,40.0,24.37,31805
269,Angola,Potatoes,1999,54597,1010,40.0,24.37,163791
270,Angola,"Rice, paddy",1999,14235,1010,40.0,24.37,85410
271,Angola,Sweet potatoes,1999,82865,1010,40.0,24.37,0
272,Angola,Wheat,1999,17391,1010,40.0,24.37,121737
273,Angola,Cassava,2000,82992,1010,40.0,24.41,0
274,Angola,Maize,2000,5745,1010,40.0,24.41,28725
275,Angola,Potatoes,2000,29885,1010,40.0,24.41,89655
276,Angola,"Rice, paddy",2000,13454,1010,40.0,24.41,80724
277,Angola,Sorghum,2000,3333,1010,40.0,24.41,13332
278,Angola,Soybeans,2000,2333,1010,40.0,24.41,18664
279,Angola,Sweet potatoes,2000,34938,1010,40.0,24.41,0
280,Angola,Wheat,2000,17023,1010,40.0,24.41,119161
281,Angola,Cassava,2001,94072,1010,40.0,24.43,0
282,Angola,Maize,2001,5754,1010,40.0,24.43,28770
283,Angola,Potatoes,2001,42552,1010,40.0,24.43,127656
284,Angola,"Rice, paddy",2001,13701,1010,40.0,24.43,82206
285,Angola,Sorghum,2001,3571,1010,40.0,24.43,14284
286,Angola,Soybeans,2001,2500,1010,40.0,24.43,20000
287,Angola,Sweet potatoes,2001,44458,1010,40.0,24.43,0
288,Angola,Wheat,2001,16667,1010,40.0,24.43,116669
289,Angola,Cassava,2002,110071,1010,40.0,24.79,0
290,Angola,Maize,2002,6706,1010,40.0,24.79,33530
291,Angola,Potatoes,2002,42754,1010,40.0,24.79,128262
292,Angola,"Rice, paddy",2002,13198,1010,40.0,24.79,79188
293,Angola,Sorghum,2002,3400,1010,40.0,24.79,13600
294,Angola,Soybeans,2002,2857,1010,40.0,24.79,22856
295,Angola,Sweet potatoes,2002,42190,1010,40.0,24.79,0
296,Angola,Wheat,2002,15455,1010,40.0,24.79,108185
297,Angola,Cassava,2004,125605,1010,40.0,24.22,0
298,Angola,Maize,2004,5404,1010,40.0,24.22,27020
299,Angola,Potatoes,2004,20150,1010,40.0,24.22,60450
300,Angola,"Rice, paddy",2004,11584,1010,40.0,24.22,69504
301,Angola,Sorghum,2004,3333,1010,40.0,24.22,13332
302,Angola,Soybeans,2004,3600,1010,40.0,24.22,28800
303,Angola,Sweet potatoes,2004,45360,1010,40.0,24.22,0
304,Angola,Wheat,2004,12442,1010,40.0,24.22,87094
305,Angola,Cassava,2005,117628,1010,40.0,24.41,0
306,Angola,Maize,2005,6736,1010,40.0,24.41,33680
307,Angola,Potatoes,2005,23646,1010,40.0,24.41,70938
308,Angola,"Rice, paddy",2005,6977,1010,40.0,24.41,41862
309,Angola,Sorghum,2005,3333,1010,40.0,24.41,13332
310,Angola,Soybeans,2005,3793,1010,40.0,24.41,30344
311,Angola,Sweet potatoes,2005,46159,1010,40.0,24.41,0
312,Angola,Wheat,2005,10946,1010,40.0,24.41,76622
313,Angola,Cassava,2006,117201,1010,40.0,24.14,0
314,Angola,Maize,2006,4687,1010,40.0,24.14,23435
315,Angola,Potatoes,2006,52148,1010,40.0,24.14,156444
316,Angola,"Rice, paddy",2006,4947,1010,40.0,24.14,29682
317,Angola,Sorghum,2006,4091,1010,40.0,24.14,16364
318,Angola,Soybeans,2006,4286,1010,40.0,24.14,34288
319,Angola,Sweet potatoes,2006,44240,1010,40.0,24.14,0
320,Angola,Wheat,2006,10000,1010,40.0,24.14,70000
321,Angola,Cassava,2007,115387,1010,40.0,24.24,0
322,Angola,Maize,2007,5091,1010,40.0,24.24,25455
323,Angola,Potatoes,2007,62138,1010,40.0,24.24,186414
324,Angola,"Rice, paddy",2007,5143,1010,40.0,24.24,30858
325,Angola,Sorghum,2007,4031,1010,40.0,24.24,16124
326,Angola,Soybeans,2007,6883,1010,40.0,24.24,55064
327,Angola,Sweet potatoes,2007,58855,1010,40.0,24.24,0
328,Angola,Wheat,2007,10000,1010,40.0,24.24,70000
329,Angola,Cassava,2008,148084,1010,40.0,24.27,0
